xi	avg(x)						n	xi-x	(xi-x)^2	sum	s^2	stdErr	Rse	ln
0	0	0	0	0	0	1	1	0	0	0	#«Õ¿◊!	#«Õ¿◊!	#«Õ¿◊!	#ƒ≈À/0!
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	0	1	1	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	0	0	0	1	1	1	1	1	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	0	0	0	1	1	1	1	2	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	0	0	0	1	1	1	1	3	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
1	0	0	0	0	0	1	1	1	1	4	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#ƒ≈À/0!	#ƒ≈À/0!	#ƒ≈À/0!	#ƒ≈À/0!
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
0	0	0	0	0	1	2	2	0	0	0	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?	#»Ãﬂ?
